model_id,rank_total,player_name,team_name,minutes_played,n_actions,sum_offensive,sum_defensive,sum_vaep,off_per90,def_per90,vaep_per90,rank_off,rank_def
model_B,16.0,Esther Gonzalez Rodríguez,Spain Women's,395,158,1.7106,0.1383,1.8489,0.3897,0.0315,0.4213,15.0,22.0
model_B,17.0,Patricia Guijarro Gutiérrez,Spain Women's,631,978,2.6676,0.27,2.9376,0.3805,0.0385,0.419,16.0,18.0
model_B,18.0,Georgia Stanway,England Women's,541,423,1.7964,0.7204,2.5168,0.2989,0.1198,0.4187,30.0,9.0
model_B,19.0,Tessa Wullaert,Belgium Women's,300,134,1.3975,-0.0314,1.3661,0.4192,-0.0094,0.4098,11.0,62.0
model_B,20.0,Ona Batlle Pascual,Spain Women's,513,661,1.5623,0.5911,2.1534,0.2741,0.1037,0.3778,33.0,10.0
model_B,21.0,Lisa Boattin,Italy Women's,286,197,1.1138,0.0325,1.1462,0.3505,0.0102,0.3607,19.0,41.0
model_B,22.0,Johanna Rytting-Kaneryd,Sweden Women's,389,289,1.5,-0.04,1.4601,0.347,-0.0092,0.3378,20.0,61.0
model_B,23.0,Lucy Bronze,England Women's,643,641,2.5996,-0.2092,2.3904,0.3639,-0.0293,0.3346,18.0,74.0
model_B,24.0,Caroline Graham Hansen,Norway Women's,274,182,0.9335,0.0788,1.0123,0.3066,0.0259,0.3325,25.0,26.0
model_B,25.0,Lauren James,England Women's,412,356,1.089,0.3851,1.4741,0.2379,0.0841,0.322,37.0,12.0
model_C,1.0,Kosovare Asllani,Sweden Women's,293,210,2.3488,0.1281,2.4769,0.7215,0.0393,0.7608,1.0,30.0
model_C,2.0,Chloe Kelly,England Women's,294,187,1.8591,0.4695,2.3286,0.5691,0.1437,0.7128,3.0,6.0
model_C,3.0,Ingrid Filippa Angeldal,Sweden Women's,405,421,2.5075,0.5046,3.0121,0.5572,0.1121,0.6694,4.0,10.0
model_C,4.0,María Francesca Caldentey Oliver,Spain Women's,532,792,2.7777,0.862,3.6397,0.4699,0.1458,0.6157,7.0,5.0
model_C,5.0,Claudia Pina Medina,Spain Women's,359,419,2.1657,0.2681,2.4338,0.5429,0.0672,0.6101,5.0,16.0
model_C,6.0,Frida Maanum,Norway Women's,284,190,1.9003,0.0087,1.909,0.6022,0.0028,0.605,2.0,60.0
model_C,7.0,Sakina Karchaoui,France Women's,336,377,1.5342,0.6677,2.2019,0.411,0.1788,0.5898,12.0,3.0
model_C,8.0,Patricia Guijarro Gutiérrez,Spain Women's,631,978,2.8756,0.8314,3.707,0.4101,0.1186,0.5287,13.0,9.0
model_C,9.0,Natalia Kuikka,WNT Finland,294,342,0.8173,0.8932,1.7105,0.2502,0.2734,0.5236,27.0,1.0
model_C,10.0,Sveindís Jane Jónsdóttir,Iceland Women's,297,161,1.6822,0.045,1.7272,0.5098,0.0136,0.5234,6.0,49.0
model_C,11.0,Alexia Putellas Segura,Spain Women's,576,762,2.3205,1.0134,3.3339,0.3626,0.1583,0.5209,15.0,4.0
model_C,12.0,Onema Grace Geyoro,France Women's,343,289,1.7555,0.2246,1.9801,0.4606,0.0589,0.5196,9.0,19.0
model_C,13.0,Lauren James,England Women's,412,356,1.9526,0.2936,2.2463,0.4265,0.0641,0.4907,10.0,17.0
model_C,14.0,Sjoeke Nüsken,Germany Women's,419,328,1.039,1.0879,2.1269,0.2232,0.2337,0.4568,30.0,2.0
model_C,15.0,Esther Gonzalez Rodríguez,Spain Women's,395,158,1.8097,0.1355,1.9452,0.4123,0.0309,0.4432,11.0,34.0
model_C,16.0,Tessa Wullaert,Belgium Women's,300,134,1.3146,0.1202,1.4348,0.3944,0.0361,0.4304,14.0,32.0
model_C,17.0,Klara Bühl,Germany Women's,552,444,1.7534,0.8669,2.6203,0.2859,0.1413,0.4272,21.0,8.0
model_C,18.0,Emma Stina Blackstenius,Sweden Women's,388,177,1.5571,0.081,1.6381,0.3612,0.0188,0.38,16.0,45.0
model_C,19.0,Johanna Rytting-Kaneryd,Sweden Women's,389,289,1.4759,0.0302,1.5062,0.3415,0.007,0.3485,18.0,55.0
model_C,20.0,Caroline Graham Hansen,Norway Women's,274,182,1.0552,-0.0099,1.0453,0.3466,-0.0032,0.3434,17.0,63.0
model_C,21.0,Jonna Ann-Charlotte Andersson,Sweden Women's,361,249,1.1411,0.2134,1.3545,0.2845,0.0532,0.3377,22.0,21.0
model_C,22.0,Keira Walsh,England Women's,644,584,2.0532,0.1636,2.2168,0.2869,0.0229,0.3098,20.0,40.0
model_C,23.0,Lisa Boattin,Italy Women's,286,197,0.8956,0.0556,0.9512,0.2818,0.0175,0.2993,23.0,46.0
model_C,24.0,Saara Katariina Kosola,WNT Finland,277,224,0.8343,0.0431,0.8773,0.2711,0.014,0.2851,24.0,48.0
model_C,25.0,Nadine Riesen,Switzerland Women's,300,220,1.5468,-0.6243,0.9224,0.464,-0.1873,0.2767,8.0,114.0
model_ES,1.0,Kosovare Asllani,Sweden Women's,293,210,2.7926,0.3067,3.0993,0.8578,0.0942,0.952,1.0,16.0
model_ES,2.0,Onema Grace Geyoro,France Women's,343,289,2.0287,1.1194,3.1481,0.5323,0.2937,0.826,5.0,1.0
model_ES,3.0,María Francesca Caldentey Oliver,Spain Women's,532,792,3.2224,0.9852,4.2075,0.5451,0.1667,0.7118,3.0,9.0
model_ES,4.0,Frida Maanum,Norway Women's,284,190,1.9494,0.0411,1.9905,0.6178,0.013,0.6308,2.0,47.0
model_ES,5.0,Claudia Pina Medina,Spain Women's,359,419,2.077,0.3937,2.4707,0.5207,0.0987,0.6194,8.0,14.0
model_ES,6.0,Chloe Kelly,England Women's,294,187,1.7229,0.2265,1.9495,0.5274,0.0693,0.5968,6.0,21.0
model_ES,7.0,Tessa Wullaert,Belgium Women's,300,134,1.3689,0.6062,1.975,0.4107,0.1818,0.5925,12.0,5.0
model_ES,8.0,Sveindís Jane Jónsdóttir,Iceland Women's,297,161,1.7926,0.0693,1.8619,0.5432,0.021,0.5642,4.0,36.0
model_ES,9.0,Natalia Kuikka,WNT Finland,294,342,0.927,0.9153,1.8423,0.2838,0.2802,0.564,22.0,2.0
model_ES,10.0,Sakina Karchaoui,France Women's,336,377,1.6285,0.4664,2.0949,0.4362,0.1249,0.5611,10.0,11.0
model_ES,11.0,Sjoeke Nüsken,Germany Women's,419,328,1.267,1.2262,2.4932,0.2721,0.2634,0.5355,24.0,3.0
model_ES,12.0,Alexia Putellas Segura,Spain Women's,576,762,2.2622,1.1528,3.4151,0.3535,0.1801,0.5336,16.0,6.0
model_ES,13.0,Ingrid Filippa Angeldal,Sweden Women's,405,421,2.3679,-0.101,2.2669,0.5262,-0.0224,0.5038,7.0,77.0
model_ES,14.0,Patricia Guijarro Gutiérrez,Spain Women's,631,978,2.7133,0.6841,3.3973,0.387,0.0976,0.4846,13.0,15.0
model_ES,15.0,Esther Gonzalez Rodríguez,Spain Women's,395,158,1.9144,0.0734,1.9878,0.4362,0.0167,0.4529,11.0,42.0
model_ES,16.0,Lauren James,England Women's,412,356,1.735,0.3176,2.0525,0.379,0.0694,0.4484,14.0,20.0
model_ES,17.0,Klara Bühl,Germany Women's,552,444,1.6823,0.9845,2.6668,0.2743,0.1605,0.4348,23.0,10.0
model_ES,18.0,Emma Stina Blackstenius,Sweden Women's,388,177,1.5434,0.1237,1.6672,0.358,0.0287,0.3867,15.0,33.0
model_ES,19.0,Caroline Graham Hansen,Norway Women's,274,182,1.0635,0.1039,1.1674,0.3493,0.0341,0.3835,17.0,29.0
model_ES,20.0,Nadine Riesen,Switzerland Women's,300,220,1.4726,-0.411,1.0616,0.4418,-0.1233,0.3185,9.0,107.0
model_ES,21.0,Saara Katariina Kosola,WNT Finland,277,224,0.8765,0.0435,0.9199,0.2848,0.0141,0.2989,21.0,45.0
model_ES,22.0,Georgia Stanway,England Women's,541,423,0.7359,1.0341,1.77,0.1224,0.172,0.2945,36.0,8.0
model_ES,23.0,Cristiana Girelli,Italy Women's,381,212,1.2602,-0.0308,1.2294,0.2977,-0.0073,0.2904,19.0,60.0
model_ES,24.0,Jonna Ann-Charlotte Andersson,Sweden Women's,361,249,1.168,-0.0153,1.1527,0.2912,-0.0038,0.2874,20.0,56.0
model_ES,25.0,Lisa Boattin,Italy Women's,286,197,0.849,0.023,0.872,0.2672,0.0072,0.2744,26.0,50.0
