model_id,head,bin_lo,bin_hi,mean_pred,frac_pos,count
model_ES,concede,0.0,0.06666666666666667,0.0018289735730667926,0.0025510704684157852,50959
model_ES,concede,0.06666666666666667,0.13333333333333333,0.09106699622896638,0.07777777777777778,90
model_ES,concede,0.13333333333333333,0.2,0.15608327313514053,0.14285714285714285,28
model_ES,concede,0.2,0.26666666666666666,0.2385957405207768,0.0,14
model_ES,concede,0.26666666666666666,0.3333333333333333,0.3033421567006876,0.15789473684210525,19
model_ES,concede,0.3333333333333333,0.4,0.3610268650361883,0.18181818181818182,11
model_ES,concede,0.4,0.4666666666666667,0.44611053960652225,0.0,2
model_ES,concede,0.4666666666666667,0.5333333333333333,0.5019830840155763,0.0,6
model_ES,concede,0.5333333333333333,0.6,0.5685226009322842,0.5,6
model_ES,concede,0.6666666666666666,0.7333333333333333,0.706243267625696,0.875,8
model_ES,concede,0.7333333333333333,0.8,0.7720937356929614,0.6666666666666666,15
model_ES,concede,0.8,0.8666666666666667,0.8110999987027019,0.625,8
model_ES,concede,0.8666666666666667,0.9333333333333333,0.8972659549176887,0.5,2
model_ES,concede,0.9333333333333333,1.0,0.961755847722812,0.75,4
