model_id,head,bin_lo,bin_hi,mean_pred,frac_pos,count
model_A,concede,0.0,0.06666666666666667,0.0016911457258735564,0.0027762077334840575,60154
model_A,concede,0.06666666666666667,0.13333333333333333,0.09252221950802225,0.04938271604938271,81
model_A,concede,0.13333333333333333,0.2,0.15861522964517988,0.11904761904761904,42
model_A,concede,0.2,0.26666666666666666,0.2333390371224935,0.0,21
model_A,concede,0.26666666666666666,0.3333333333333333,0.30978209644838817,0.4,5
model_A,concede,0.3333333333333333,0.4,0.36634641643337074,0.125,8
model_A,concede,0.4,0.4666666666666667,0.42875239257168096,0.25,4
model_A,concede,0.4666666666666667,0.5333333333333333,0.47673270904486004,0.0,2
model_A,concede,0.5333333333333333,0.6,0.5927776763994552,1.0,2
model_A,concede,0.6,0.6666666666666666,0.6357431402858537,0.42857142857142855,14
model_A,concede,0.6666666666666666,0.7333333333333333,0.6957096295083577,0.8,10
model_A,concede,0.7333333333333333,0.8,0.7580331676305911,0.75,8
model_A,concede,0.8,0.8666666666666667,0.8178839914589592,0.8571428571428571,7
model_A,concede,0.8666666666666667,0.9333333333333333,0.9081262341224938,0.75,8
model_A,concede,0.9333333333333333,1.0,0.9828636461840705,0.75,4
