model_id,head,bin_lo,bin_hi,mean_pred,frac_pos,count
model_C,concede,0.0,0.06666666666666667,0.00159885813432729,0.0026293069617769407,50964
model_C,concede,0.06666666666666667,0.13333333333333333,0.09405249083718441,0.06172839506172839,81
model_C,concede,0.13333333333333333,0.2,0.16452377081690853,0.03333333333333333,30
model_C,concede,0.2,0.26666666666666666,0.23481410754656368,0.13793103448275862,29
model_C,concede,0.26666666666666666,0.3333333333333333,0.29495536735856975,0.1,10
model_C,concede,0.3333333333333333,0.4,0.3665231649942542,0.0,8
model_C,concede,0.4,0.4666666666666667,0.44249168142525297,0.0,5
model_C,concede,0.4666666666666667,0.5333333333333333,0.502092126911308,0.3333333333333333,3
model_C,concede,0.5333333333333333,0.6,0.5668847667818009,0.5,2
model_C,concede,0.6,0.6666666666666666,0.6429619630674447,0.4,5
model_C,concede,0.6666666666666666,0.7333333333333333,0.7163343487661855,1.0,2
model_C,concede,0.7333333333333333,0.8,0.7759657966209541,0.6666666666666666,15
model_C,concede,0.8,0.8666666666666667,0.8380833926180038,0.7272727272727273,11
model_C,concede,0.8666666666666667,0.9333333333333333,0.8860429818662034,0.8,5
model_C,concede,0.9333333333333333,1.0,0.9812056989300938,1.0,2
