model_id,head,bin_lo,bin_hi,mean_pred,frac_pos,count
model_B,concede,0.0,0.06666666666666667,0.001754291623392515,0.0026775320139697323,60130
model_B,concede,0.06666666666666667,0.13333333333333333,0.09666953035020628,0.054945054945054944,91
model_B,concede,0.13333333333333333,0.2,0.16094826679568353,0.16666666666666666,42
model_B,concede,0.2,0.26666666666666666,0.22880195886444532,0.1111111111111111,27
model_B,concede,0.26666666666666666,0.3333333333333333,0.2945916398276701,0.2857142857142857,14
model_B,concede,0.3333333333333333,0.4,0.36221541269456314,0.0,3
model_B,concede,0.4,0.4666666666666667,0.4387618701024638,0.0,8
model_B,concede,0.4666666666666667,0.5333333333333333,0.4948864666689974,0.6666666666666666,3
model_B,concede,0.5333333333333333,0.6,0.5591534979177841,0.0,2
model_B,concede,0.6,0.6666666666666666,0.6428923822311428,0.5333333333333333,15
model_B,concede,0.6666666666666666,0.7333333333333333,0.7023395925083602,0.8666666666666667,15
model_B,concede,0.7333333333333333,0.8,0.7519618774789477,0.75,8
model_B,concede,0.8,0.8666666666666667,0.8576362498854753,0.0,1
model_B,concede,0.8666666666666667,0.9333333333333333,0.9149402095058086,0.8,5
model_B,concede,0.9333333333333333,1.0,0.9818696288707137,0.6666666666666666,6
