model_id,ece_score,mce_score,ece_concede,mce_concede
model_A,0.0032300396216051065,0.203507185029299,0.0014356585923950803,0.47673270904486004
model_B,0.003310265145498953,0.8140416706301637,0.0012044200431895922,0.5082695725446328
model_C,0.0038943912923384344,0.3698170888745135,0.0011245478259363964,0.8114672958296961
model_ES,0.003678034440924492,0.45608117135598547,0.0011102928209200255,0.5019830840155763
