model_id,head,bin_lo,bin_hi,mean_pred,frac_pos,count
model_B,score,0.0,0.06666666666666667,0.007987277728559481,0.010671890039006433,59221
model_B,score,0.06666666666666667,0.13333333333333333,0.08958092467481157,0.10921985815602837,705
model_B,score,0.13333333333333333,0.2,0.15968638137218585,0.20833333333333334,168
model_B,score,0.2,0.26666666666666666,0.23191438290308683,0.2898550724637681,69
model_B,score,0.26666666666666666,0.3333333333333333,0.2918112003428323,0.25,28
model_B,score,0.3333333333333333,0.4,0.36661080935016177,0.2692307692307692,26
model_B,score,0.4,0.4666666666666667,0.42253098519375876,0.3,10
model_B,score,0.4666666666666667,0.5333333333333333,0.5035847041147238,0.375,8
model_B,score,0.5333333333333333,0.6,0.5526234348813039,0.6666666666666666,6
model_B,score,0.6,0.6666666666666666,0.636846112315412,1.0,4
model_B,score,0.7333333333333333,0.8,0.7818247611510784,0.0,1
model_B,score,0.8,0.8666666666666667,0.8140416706301637,0.0,1
model_B,score,0.9333333333333333,1.0,0.9581307798976865,1.0,123
