model_id,n_actions,mean_vaep,std_vaep,max_vaep,min_vaep,mean_offensive,mean_defensive
model_A,60370,-2.25903002782477e-07,0.06375471039298364,1.890064462685114,-1.0484060506346398,3.708057377829137e-05,-3.7306476781073855e-05
model_B,60370,-2.8528445350120972e-06,0.06345145672217373,1.9412353143465535,-1.1147331336858382,3.407995216782073e-05,-3.693279670283284e-05
model_C,51172,-9.97314286848899e-07,0.06581516010281882,1.7851191918765095,-1.0200200006571514,3.9226972570356885e-05,-4.022428685720578e-05
