model_id,head,bin_lo,bin_hi,mean_pred,frac_pos,count
model_C,score,0.0,0.06666666666666667,0.008206073804882037,0.011107565907549953,50146
model_C,score,0.06666666666666667,0.13333333333333333,0.09010467469541522,0.12063492063492064,630
model_C,score,0.13333333333333333,0.2,0.16051482214497903,0.15337423312883436,163
model_C,score,0.2,0.26666666666666666,0.22981542882623707,0.2857142857142857,56
model_C,score,0.26666666666666666,0.3333333333333333,0.2982778302248845,0.4090909090909091,22
model_C,score,0.3333333333333333,0.4,0.36767540515584207,0.3076923076923077,13
model_C,score,0.4,0.4666666666666667,0.43268599595239643,0.5,8
model_C,score,0.4666666666666667,0.5333333333333333,0.4958089743695556,0.5,8
model_C,score,0.5333333333333333,0.6,0.5638472777349144,0.5,6
model_C,score,0.6,0.6666666666666666,0.6376182439669924,1.0,4
model_C,score,0.6666666666666666,0.7333333333333333,0.6956488281966955,1.0,2
model_C,score,0.8,0.8666666666666667,0.8083478598883465,0.0,1
model_C,score,0.8666666666666667,0.9333333333333333,0.9286928574516302,1.0,21
model_C,score,0.9333333333333333,1.0,0.9493069791961808,1.0,92
