model_id,head,bin_lo,bin_hi,mean_pred,frac_pos,count
model_A,score,0.0,0.06666666666666667,0.007977438098906678,0.010787176933335585,59237
model_A,score,0.06666666666666667,0.13333333333333333,0.08998942451834392,0.10780141843971631,705
model_A,score,0.13333333333333333,0.2,0.16159809009467654,0.18125,160
model_A,score,0.2,0.26666666666666666,0.23255383486730147,0.2903225806451613,62
model_A,score,0.26666666666666666,0.3333333333333333,0.30044541251192236,0.28205128205128205,39
model_A,score,0.3333333333333333,0.4,0.3632246646741815,0.35,20
model_A,score,0.4,0.4666666666666667,0.4572189381822042,0.2857142857142857,7
model_A,score,0.4666666666666667,0.5333333333333333,0.48973257589778896,0.5714285714285714,7
model_A,score,0.5333333333333333,0.6,0.546492814970701,0.75,4
model_A,score,0.6,0.6666666666666666,0.6129228055687288,0.5,2
model_A,score,0.6666666666666666,0.7333333333333333,0.6956862972825923,0.5,4
model_A,score,0.9333333333333333,1.0,0.9618156046685855,1.0,123
