model_id,head,bin_lo,bin_hi,mean_pred,frac_pos,count
model_ES,score,0.0,0.06666666666666667,0.008351322255817518,0.011173740713446333,50207
model_ES,score,0.06666666666666667,0.13333333333333333,0.09047756779932775,0.11544991511035653,589
model_ES,score,0.13333333333333333,0.2,0.16126026047447875,0.24050632911392406,158
model_ES,score,0.2,0.26666666666666666,0.2268265119691031,0.15384615384615385,52
model_ES,score,0.26666666666666666,0.3333333333333333,0.2922575116876147,0.43478260869565216,23
model_ES,score,0.3333333333333333,0.4,0.35915053101418154,0.2857142857142857,7
model_ES,score,0.4,0.4666666666666667,0.4373661663760148,0.4,5
model_ES,score,0.4666666666666667,0.5333333333333333,0.4989660684393018,0.6666666666666666,6
model_ES,score,0.5333333333333333,0.6,0.5439188286440145,1.0,1
model_ES,score,0.6,0.6666666666666666,0.6213598359544298,0.75,4
model_ES,score,0.6666666666666666,0.7333333333333333,0.685146459656025,1.0,4
model_ES,score,0.7333333333333333,0.8,0.7548608231920271,1.0,2
model_ES,score,0.8,0.8666666666666667,0.8622951300035592,1.0,1
model_ES,score,0.8666666666666667,0.9333333333333333,0.8941059627284806,1.0,24
model_ES,score,0.9333333333333333,1.0,0.9427192876558981,1.0,89
