model_id,paper_name,precision_top0.001,recall_top0.001,precision_top0.010,recall_top0.010,precision_top0.050,recall_top0.050,precision_top0.100,recall_top0.100
model_A,E-VAEP,0.5882352941176471,0.17142857142857143,0.103515625,0.3028571428571429,0.031652989449003514,0.46285714285714286,0.019151846785225718,0.56
model_B,P-VAEP,0.5490196078431373,0.16,0.109375,0.32,0.03477921062915201,0.5085714285714286,0.020715262849325778,0.6057142857142858
model_ES,ES-VAEP,0.5686274509803921,0.1657142857142857,0.099609375,0.2914285714285714,0.03048065650644783,0.44571428571428573,0.019542700801250732,0.5714285714285714
model_C,PS-VAEP,0.5098039215686274,0.14857142857142858,0.09765625,0.2857142857142857,0.031652989449003514,0.46285714285714286,0.019151846785225718,0.56
