stratum_zone,n_actions,mean_delta,mean_visible_area_frac,mean_actor_dist_to_boundary_m,mean_n_visible_players
final_third,11316,-0.001963144788995285,0.24318988044334616,7.698489343986624,14.642364793213149
middle_third,20516,-0.0015618037144964206,0.2885283114851139,7.816285733090448,15.444384870345097
own_third,15717,-0.0012807583208120112,0.24467541696507966,7.762343654677719,13.924731182795698
penalty_area,3623,-0.0005808009166477227,0.19187000707622828,7.373188810959361,13.226607783604747
