zone,n_actions,mean_n_visible,mean_n_opponents_visible,mean_delta_vaep,corr_visible_delta
ALL,51172,13.643261940123505,7.352126162745251,-0.0014947790136812377,0.020243897971111202
final_third,11316,13.642364793213149,7.534817956875221,-0.001963144788995285,0.019085363081388185
middle_third,20516,14.444384870345097,7.774176252680834,-0.0015618037144964206,0.005738973649863558
own_third,15717,12.924731182795698,6.905261818413183,-0.0012807583208120112,0.02550605698001852
penalty_area,3623,12.226607783604747,6.330113165884626,-0.0005808009166477229,0.07763393181443938
