subset,n_actions,mean_delta_vaep,concede_auc_model_B,concede_auc_model_C
all_actions,51172,-0.0014947790136812377,0.8646194313951241,0.8493115841548102
high_coverage_top50pct,25586,-0.002303397434993543,0.753890585839599,0.7197278352130325
actor_far_from_boundary,15366,-0.0015870270927560149,0.818461331643333,0.7967077003834508
