model_pair,spearman_observed,ci_lo,ci_hi,n_boot
E-VAEP vs P-VAEP,0.9743814533411261,0.9403560044049174,0.9789104971851019,100
E-VAEP vs PS-VAEP,0.8339327728573783,0.7043875536615172,0.8357706920717766,100
P-VAEP vs PS-VAEP,0.8282605763611023,0.6901207648932097,0.832236117812674,100
