model_id,paper_name,head,brier,reliability,resolution,uncertainty,base_rate
model_A,E-VAEP,score,0.012890271588113435,3.612214860468975e-05,0.0007597232701419826,0.015710856953332804,0.015965762526381613
model_A,E-VAEP,concede,0.003029132505449521,1.484321626209318e-06,3.931977975057682e-05,0.0034081436758280534,0.0034198389744391463
model_B,P-VAEP,score,0.012893428632774297,3.66007734839565e-05,0.0007796593257877144,0.015710856953332804,0.015965762526381613
model_B,P-VAEP,concede,0.0030415979708859594,1.912964929185431e-06,4.717725222213313e-05,0.0034081436758280534,0.0034198389744391463
model_ES,ES-VAEP,score,0.012843585738240045,4.480004614434739e-05,0.000771042746067087,0.015710856953332804,0.015965762526381613
model_ES,ES-VAEP,concede,0.0030656767961166945,2.6596764647572236e-06,3.779894816408892e-05,0.0034081436758280534,0.0034198389744391463
model_C,PS-VAEP,score,0.012865432949572814,3.6140939960770625e-05,0.0007496817280253144,0.015710856953332804,0.015965762526381613
model_C,PS-VAEP,concede,0.003062603968899832,1.7455358342016155e-06,4.027024972528002e-05,0.0034081436758280534,0.0034198389744391463
