strategy,comparison,metric,point_diff,ci_lo,ci_hi,excludes_zero,n_boot
pooled,P-VAEP - E-VAEP,score_auc,0.003444856087263859,-0.0030183880102071375,0.009013607819564614,False,1000
pooled,P-VAEP - E-VAEP,score_ap,-0.001300592491937369,-0.007663200638514636,0.005307829778999172,False,1000
pooled,P-VAEP - E-VAEP,score_brier,5.623684289298575e-06,-4.873133819335079e-05,5.6780657109517036e-05,False,1000
pooled,P-VAEP - E-VAEP,score_logloss,-0.00015290199803448534,-0.000580515424907193,0.00023612967968261741,False,1000
pooled,P-VAEP - E-VAEP,score_ece,-5.5147443288368434e-05,-0.00033918964343843946,0.00014779374827799654,False,1000
pooled,P-VAEP - E-VAEP,score_ace,0.00013671997730745414,-0.00038590248668641006,0.00045207700484965735,False,1000
pooled,P-VAEP - E-VAEP,concede_auc,0.023065726555343447,0.008096046301132828,0.03874516400231742,True,1000
pooled,P-VAEP - E-VAEP,concede_ap,0.006015867058480451,-0.018685668304164387,0.029785746045055565,False,1000
pooled,P-VAEP - E-VAEP,concede_brier,1.2252447636778262e-05,-4.4609411991591104e-05,6.057367700655673e-05,False,1000
pooled,P-VAEP - E-VAEP,concede_logloss,-0.0002834624700662307,-0.0009233417948346548,0.0002521725134887641,False,1000
pooled,P-VAEP - E-VAEP,concede_ece,-0.00012566971796716371,-0.00043906763315876496,0.0001347030020158328,False,1000
pooled,P-VAEP - E-VAEP,concede_ace,3.0316836654662284e-05,-0.00019435091933413546,0.00043372218846871464,False,1000
pooled,PS-VAEP - P-VAEP,score_auc,-0.005136723874931137,-0.010178587866243463,-0.0002292212755944381,True,1000
pooled,PS-VAEP - P-VAEP,score_ap,0.0012324308034417086,-0.005998225936588771,0.00881516936927425,False,1000
pooled,PS-VAEP - P-VAEP,score_brier,-1.4772126201706773e-05,-7.776534804443237e-05,4.4774784549787686e-05,False,1000
pooled,PS-VAEP - P-VAEP,score_logloss,0.00010798856194869921,-0.00034717470850578763,0.0005939474882717727,False,1000
pooled,PS-VAEP - P-VAEP,score_ece,-0.00013801511468455874,-0.0003633868040301703,0.0002629459835038019,False,1000
pooled,PS-VAEP - P-VAEP,score_ace,-8.058116060220919e-06,-0.00040733323813201726,0.0004593405050780953,False,1000
pooled,PS-VAEP - P-VAEP,concede_auc,-0.009165805271458494,-0.03728984783116187,0.014912294932109223,False,1000
pooled,PS-VAEP - P-VAEP,concede_ap,0.006196070189162878,-0.027225861863089514,0.038035155141325216,False,1000
pooled,PS-VAEP - P-VAEP,concede_brier,2.6315798893781703e-07,-7.774767144552933e-05,7.295999897624693e-05,False,1000
pooled,PS-VAEP - P-VAEP,concede_logloss,0.00034892162313388334,-0.000495325165566954,0.0012887769704202994,False,1000
pooled,PS-VAEP - P-VAEP,concede_ece,0.0001874059649292208,-0.00018806090168186506,0.0005813141819766034,False,1000
pooled,PS-VAEP - P-VAEP,concede_ace,0.00019572125844526578,-0.000269926707299923,0.0005858820266377968,False,1000
pooled,PS-VAEP - E-VAEP,score_auc,-0.0016918677876672783,-0.010523680131289242,0.006061461257878196,False,1000
pooled,PS-VAEP - E-VAEP,score_ap,-6.81616884956604e-05,-0.006756879266970908,0.00636676846595792,False,1000
pooled,PS-VAEP - E-VAEP,score_brier,-9.148441912408198e-06,-9.144988665425818e-05,5.8101937735829456e-05,False,1000
pooled,PS-VAEP - E-VAEP,score_logloss,-4.491343608578613e-05,-0.0005718809983712703,0.00042739177964363687,False,1000
pooled,PS-VAEP - E-VAEP,score_ece,-0.00019316255797292717,-0.0005050640278389444,0.0002239888537535563,False,1000
pooled,PS-VAEP - E-VAEP,score_ace,0.00012866186124723322,-0.0004468343284278764,0.0006250543642548048,False,1000
pooled,PS-VAEP - E-VAEP,concede_auc,0.013899921283884953,-0.005135494791721995,0.033924532392811124,False,1000
pooled,PS-VAEP - E-VAEP,concede_ap,0.012211937247643329,-0.021052025099817927,0.042296018146260626,False,1000
pooled,PS-VAEP - E-VAEP,concede_brier,1.2515605625716079e-05,-5.217491864566203e-05,7.960697579898912e-05,False,1000
pooled,PS-VAEP - E-VAEP,concede_logloss,6.545915306765265e-05,-0.0004996733222758958,0.0006180585348701774,False,1000
pooled,PS-VAEP - E-VAEP,concede_ece,6.17362469620571e-05,-0.0001620358547525145,0.0002708248021211406,False,1000
pooled,PS-VAEP - E-VAEP,concede_ace,0.00022603809509992806,-0.0002303953563702305,0.0006646033130203742,False,1000
men_only,P-VAEP - E-VAEP,score_auc,0.006304151175369865,0.0011156828610744602,0.01211286131192944,True,1000
men_only,P-VAEP - E-VAEP,score_ap,-0.001252156022298001,-0.009472241319803352,0.006879264898295981,False,1000
men_only,P-VAEP - E-VAEP,score_brier,1.4255791435604029e-05,-4.16881069596909e-05,6.969655866234858e-05,False,1000
men_only,P-VAEP - E-VAEP,score_logloss,-0.0002507821797889942,-0.0007515783609308232,0.00018369129326297018,False,1000
men_only,P-VAEP - E-VAEP,score_ece,-0.0002642103616374942,-0.0005381513639027207,0.00021407152114658566,False,1000
men_only,P-VAEP - E-VAEP,score_ace,-0.00041836390582704244,-0.0007682190973578736,0.00019231319383632029,False,1000
men_only,P-VAEP - E-VAEP,concede_auc,-0.0013625451357083262,-0.021135712779285505,0.015389456990141225,False,1000
men_only,P-VAEP - E-VAEP,concede_ap,0.003647067792192704,-0.01123021041892105,0.024152006011826658,False,1000
men_only,P-VAEP - E-VAEP,concede_brier,-1.925159782589043e-05,-6.68768282518089e-05,2.8507021653212274e-05,False,1000
men_only,P-VAEP - E-VAEP,concede_logloss,-5.264127673908908e-05,-0.0005100174391187196,0.0004645064505514039,False,1000
men_only,P-VAEP - E-VAEP,concede_ece,3.2947420160855294e-05,-0.0001297787934692417,0.00022498536034789958,False,1000
men_only,P-VAEP - E-VAEP,concede_ace,-1.4080171757654405e-05,-0.0003770129258857597,0.00045353732191389913,False,1000
men_only,PS-VAEP - P-VAEP,score_auc,-0.00963935738022581,-0.016532824280570353,-0.0031515431670580225,True,1000
men_only,PS-VAEP - P-VAEP,score_ap,0.0007250090998927594,-0.009067554306527706,0.011159375339926909,False,1000
men_only,PS-VAEP - P-VAEP,score_brier,-6.297031214280366e-05,-0.00012834634194263962,3.8024069618221035e-06,False,1000
men_only,PS-VAEP - P-VAEP,score_logloss,0.00023634009893129526,-0.0003279966138873179,0.0007595736564253605,False,1000
men_only,PS-VAEP - P-VAEP,score_ece,0.0005170752383078497,3.7726087965434803e-06,0.0008824281931868345,True,1000
men_only,PS-VAEP - P-VAEP,score_ace,4.804678127830284e-05,-0.00046556291621437394,0.00042834139687423985,False,1000
