player_id,player_name,rank_E_VAEP,rank_PS_VAEP,delta_rank_observed,ci_lo,ci_hi,excludes_zero,n_boot
32339.0,Daphne van Domselaar,106.0,110.0,-4.0,-35.0,13.0,False,589
10203.0,Cristiana Girelli,22.0,27.0,-5.0,-14.0,6.0,False,733
32099.0,Livia Peng,95.0,101.0,-6.0,-19.0,20.0,False,788
15555.0,Lauren Hemp,50.0,56.0,-6.0,-51.0,31.0,False,917
193268.0,Cecilía Rán Rúnarsdóttir,109.0,117.0,-8.0,-13.0,8.0,False,576
10178.0,Lucy Bronze,23.0,32.0,-9.0,-53.0,11.174999999999955,False,954
46881.0,Janina Minge,85.0,94.0,-9.0,-53.3,26.0,False,895
15471.0,Selma Bacha,51.0,61.0,-10.0,-24.0,4.0,False,711
47008.0,Sjoeke Nüsken,4.0,14.0,-10.0,-35.0,0.0,False,765
10272.0,Onema Grace Geyoro,2.0,12.0,-10.0,-17.625,-0.375,True,616
10208.0,Elena Linari,99.0,109.0,-10.0,-20.0,20.0,False,892
32162.0,Arianna Caruso,24.0,35.0,-11.0,-50.724999999999994,12.0,False,892
224144.0,Eva Nyström,94.0,106.0,-12.0,-27.975,17.975000000000023,False,602
34873.0,Fátima Alexandra Figueira Pinto,90.0,102.0,-12.0,-26.0,29.0,False,595
46546.0,Elisa Senß,65.0,77.0,-12.0,-38.0,16.0,False,863
10135.0,Ingibjörg Sigurðardóttir,47.0,60.0,-13.0,-38.0,11.0,False,512
16381.0,Gemma Evans,98.0,114.0,-16.0,-25.0,3.1749999999999545,False,594
4643.0,Georgia Stanway,16.0,33.0,-17.0,-65.0,1.0,False,908
26093.0,Gun Nathalie Björn,53.0,71.0,-18.0,-33.0,3.0,False,698
15560.0,Ann-Katrin Berger,86.0,105.0,-19.0,-35.0,11.299999999999955,False,895
47011.0,Tanja Pawollek,80.0,100.0,-20.0,-31.075,11.0,False,518
15284.0,Aitana Bonmati Conca,19.0,40.0,-21.0,-65.0,-1.0,True,861
50371.0,Adriana Nanclares Romero,76.0,97.0,-21.0,-41.875,28.0,False,566
32210.0,Laia Aleixandri López,43.0,64.0,-21.0,-65.0,13.0,False,793
46639.0,Ona Batlle Pascual,25.0,46.0,-21.0,-80.0,11.449999999999932,False,863
10100.0,Janice Cayman,33.0,55.0,-22.0,-37.0,25.024999999999977,False,560
135326.0,Sarai Linder,57.0,79.0,-22.0,-58.8,19.0,False,609
18999.0,Leah Williamson,56.0,80.0,-24.0,-50.0,2.0,False,953
225394.0,Guðrún Arnardóttir,83.0,108.0,-25.0,-42.0,10.625,False,576
10404.0,Noelle Maritz,70.0,96.0,-26.0,-57.0,16.0,False,788
10405.0,Lia Wälti,46.0,72.0,-26.0,-65.0,12.0,False,788
46545.0,Carlotta Wamser,66.0,93.0,-27.0,-38.0,3.0,False,591
63788.0,Victoria Pelova,3.0,31.0,-28.0,-85.3,0.0,False,589
19422.0,Jessica Carter,75.0,103.0,-28.0,-48.0,12.0,False,811
31633.0,Oriane Jean-François,55.0,84.0,-29.0,-58.0,12.0,False,601
26094.0,Julia Zigiotti-Olme,35.0,67.0,-32.0,-56.0,-3.0,True,547
63308.0,Justine Vanhaevermaet,40.0,76.0,-36.0,-64.15,7.149999999999977,False,555
10228.0,Manuela Giugliano,45.0,81.0,-36.0,-69.0,5.725000000000023,False,732
46331.0,Elisabetta Oliviero,28.0,75.0,-47.0,-80.0,4.25,False,711
10388.0,Laura Deloose,67.0,115.0,-48.0,-61.15,-9.0,True,555
10654.0,Jackie Groenen,61.0,112.0,-51.0,-62.0,-5.550000000000068,True,583
30969.0,Elisa De Almeida,44.0,95.0,-51.0,-70.325,8.0,False,548
