variant,n_train_matches,n_train_rows,n_eval_rows,n_features,seed,learner,score_auc,score_ap,score_logloss,concede_auc,concede_ap,concede_logloss
E-VAEP,295,459240,51172,206,42,logreg,0.824633377195717,0.2611811065111394,0.0644952842800405,0.8199081738701717,0.13904079021991178,0.018996757577941368
E-VAEP,295,459240,51172,206,42,xgboost,0.8281351972597981,0.30033771363670503,0.062144700437784195,0.8599978710232254,0.2234034390593712,0.017274906858801842
P-VAEP,295,459240,51172,254,42,logreg,0.821152461343312,0.26155035494749146,0.06473309095565137,0.8396331436863232,0.1448768715219831,0.018750392528317693
P-VAEP,295,459240,51172,254,42,xgboost,0.8253570882961085,0.3023893875321581,0.06217437982559204,0.865410794472504,0.21456354152425072,0.017144935205578804
PS-VAEP,295,459240,51172,271,42,logreg,0.8232296350744476,0.27609549678874884,0.06407177901156691,0.8439282983032617,0.14600653103230948,0.018561034657301176
PS-VAEP,295,459240,51172,271,42,xgboost,0.8276630780698169,0.3026586901926869,0.062009237706661224,0.8628835869897109,0.21842955147809853,0.017092302441596985
ES-VAEP,295,459240,51172,223,42,logreg,0.8266922475880247,0.2757359155457355,0.06383668604759016,0.8286349617204374,0.14213343100933457,0.01882830837496085
ES-VAEP,295,459240,51172,223,42,xgboost,0.8323760662819076,0.30193735378232756,0.06183386221528053,0.8571766406427268,0.2229649753479785,0.017128190025687218
