variant,n_train_matches,n_train_rows,n_eval_rows,n_features,seed,learner,score_auc,score_ap,score_logloss,concede_auc,concede_ap,concede_logloss
baseline_only,295,459240,51172,206,42,lightgbm,0.8267250258780771,0.28775685977866305,0.062757115904111,0.8468467332812293,0.17710461468547958,0.01826521322038257
all_groups,295,459240,51172,271,42,lightgbm,0.8230742511521928,0.2949903974867253,0.06264452025271809,0.8531233489925177,0.15859739798701245,0.018339990468248676
add_only_phase,295,459240,51172,254,42,lightgbm,0.8222429319761152,0.28910470552749734,0.06282538066617492,0.8473530375736388,0.16287225924186935,0.018281980536072176
drop_phase,295,459240,51172,223,42,lightgbm,0.8287151311368597,0.29668776974127387,0.062328266902639304,0.8469196227229052,0.16285937281344368,0.018209435380912426
add_only_pressure_support,295,459240,51172,208,42,lightgbm,0.826396768986706,0.2919407216061683,0.06263785378719468,0.842665254818911,0.18512607291937144,0.01824661932666983
drop_pressure_support,295,459240,51172,269,42,lightgbm,0.825014660293799,0.29039412116319063,0.0628346741108147,0.8528836710282678,0.16392011250110008,0.0183070162671161
add_only_defensive_density,295,459240,51172,210,42,lightgbm,0.8244655236681253,0.290714503112383,0.06266951392106604,0.8484848688578321,0.15907222039836197,0.01848774128430286
drop_defensive_density,295,459240,51172,267,42,lightgbm,0.8235377169708291,0.2911780089245585,0.06279335071577379,0.8603782295317092,0.1942540767489661,0.01772786925285239
add_only_defensive_structure,295,459240,51172,210,42,lightgbm,0.8259522384946926,0.29575001091988035,0.06245210450922779,0.8554745797371834,0.15417853090500852,0.018375591745051132
drop_defensive_structure,295,459240,51172,267,42,lightgbm,0.8223841204802086,0.2933676990814673,0.0628019147401449,0.8579485628006127,0.1865473876119765,0.01790360309855362
add_only_zone_context,295,459240,51172,213,42,lightgbm,0.8255607706702243,0.2955977564044446,0.0625459974568023,0.8567740399295196,0.1525955715017276,0.018257915358442452
drop_zone_context,295,459240,51172,264,42,lightgbm,0.8240504656838528,0.29745125396746924,0.06243319004090562,0.8449676311491713,0.1392082539333341,0.018556125657531182
